Truck_ID,Age,Total_KM_Driven,Fuel_Efficiency,Battery_Health,Service_Delay,Engine_Temp,Repair_Count,Status
T00001,0,7897,6.32,100.0,10,80.6,0,Truck Healthy
T00002,0,8930,6.81,97.3,19,76.8,0,Truck Healthy
T00003,11,117586,4.83,71.2,44,96.9,5,High Risk
T00004,13,145225,4.23,65.8,27,97.2,2,High Risk
T00005,1,18205,6.58,96.6,11,84.6,0,Truck Healthy
T00006,14,182114,3.72,58.2,47,96.8,11,High Risk
T00007,4,46261,5.65,91.2,23,81.5,1,Truck Healthy
T00008,6,76678,6.03,85.8,58,89.5,0,Service Required Soon
T00009,5,66336,5.85,86.3,3,85.8,1,Truck Healthy
T00010,6,75313,5.97,86.6,46,90.1,0,Service Required Soon
T00011,6,84314,5.04,77.6,22,84.1,2,Truck Healthy
T00012,13,193434,4.56,63.2,11,100.0,3,High Risk
T00013,5,77539,5.38,82.7,39,85.7,2,Service Required Soon
T00014,2,22551,6.65,94.8,48,80.8,0,Service Required Soon
T00015,10,149931,5.07,73.1,47,91.4,4,High Risk
T00016,7,99529,4.77,81.3,16,93.0,2,Truck Healthy
T00017,4,62417,6.44,91.9,26,90.8,0,Truck Healthy
T00018,14,196042,3.33,62.0,45,105.4,2,High Risk
T00019,3,39623,6.26,86.8,37,88.9,1,Service Required Soon
T00020,12,118554,3.3,61.7,33,99.8,1,High Risk
T00021,11,96398,3.33,66.2,2,95.4,3,High Risk
T00022,10,101621,3.73,72.5,56,96.5,2,High Risk
T00023,10,100755,4.58,74.4,4,97.0,2,Service Required Soon
T00024,6,58584,5.71,85.4,30,90.2,2,Truck Healthy
T00025,4,49666,6.11,87.9,36,80.8,2,Service Required Soon
T00026,11,123743,4.71,62.7,16,102.1,2,High Risk
T00027,1,14653,6.46,95.3,39,82.8,0,Service Required Soon
T00028,5,51023,5.73,83.1,17,83.1,2,Truck Healthy
T00029,10,102744,4.96,70.6,2,98.5,5,Service Required Soon
T00030,9,105619,5.19,70.2,34,97.5,4,High Risk
T00031,0,8830,7.0,95.2,36,79.2,0,Service Required Soon
T00032,14,209553,4.4,61.0,4,99.9,5,High Risk
T00033,11,132456,4.39,70.5,17,96.8,5,Service Required Soon
T00034,6,81486,5.49,78.5,5,87.7,3,Truck Healthy
T00035,3,52282,6.11,93.0,18,86.1,0,Truck Healthy
T00036,2,27350,6.34,96.3,34,88.1,0,Service Required Soon
T00037,14,182845,2.65,61.4,49,100.9,4,High Risk
T00038,9,135837,5.22,75.1,28,94.8,3,Service Required Soon
T00039,3,35547,5.66,91.9,1,80.5,0,Truck Healthy
T00040,3,32848,6.4,94.8,17,92.8,0,Truck Healthy
T00041,10,122275,4.23,67.6,0,92.6,3,High Risk
T00042,12,176755,3.79,66.7,47,100.9,3,High Risk
T00043,3,30068,6.44,89.2,7,86.5,0,Truck Healthy
T00044,2,32661,6.76,91.4,17,85.5,0,Truck Healthy
T00045,12,137284,3.67,65.1,23,95.3,4,High Risk
T00046,0,1275,6.39,99.7,59,74.3,0,Service Required Soon
T00047,3,45473,6.08,87.5,33,88.2,1,Service Required Soon
T00048,2,25356,6.27,89.3,54,77.6,1,Service Required Soon
T00049,10,141188,4.64,73.7,44,97.2,4,High Risk
T00050,0,6286,6.75,99.9,30,80.0,0,Truck Healthy
T00051,14,139923,3.48,60.2,9,98.9,2,High Risk
T00052,3,47943,5.9,95.0,47,85.3,1,Service Required Soon
T00053,0,2324,6.5,99.1,35,74.1,0,Service Required Soon
T00054,13,158995,3.02,65.2,26,93.7,5,High Risk
T00055,13,152728,3.69,64.8,11,94.2,2,High Risk
T00056,14,143280,3.19,56.7,22,102.6,4,High Risk
T00057,0,8155,7.0,95.3,45,77.2,0,High Risk
T00058,11,105273,3.79,67.3,50,97.3,5,High Risk
T00059,14,125843,3.55,53.0,20,95.8,7,High Risk
T00060,10,137130,4.23,74.4,22,91.4,6,Service Required Soon
T00061,7,94947,6.02,76.0,58,92.3,1,Service Required Soon
T00062,3,45987,5.98,95.3,26,80.6,0,Truck Healthy
T00063,12,122735,4.18,68.1,16,95.3,8,High Risk
T00064,8,82138,5.58,73.2,20,96.8,2,Truck Healthy
T00065,11,166211,4.12,62.7,1,100.5,12,High Risk
T00066,14,195733,3.74,57.0,50,100.0,3,High Risk
T00067,14,113767,3.3,53.0,15,103.3,6,High Risk
T00068,13,185260,4.04,63.3,34,93.3,6,High Risk
T00069,7,72673,5.29,75.5,48,91.6,2,Service Required Soon
T00070,4,51665,5.62,90.1,13,85.9,2,Truck Healthy
T00071,4,56098,5.73,90.7,6,86.7,2,Truck Healthy
T00072,0,8268,6.74,100.0,0,76.8,0,High Risk
T00073,10,91808,5.06,71.1,44,99.9,1,High Risk
T00074,11,122318,4.59,71.8,19,100.0,8,Service Required Soon
T00075,0,8397,6.64,100.0,54,78.4,0,Service Required Soon
T00076,13,112853,3.7,58.6,13,95.2,6,High Risk
T00077,3,38515,6.4,94.2,24,86.7,0,Truck Healthy
T00078,10,101616,4.19,72.0,26,89.8,1,Service Required Soon
T00079,13,113869,4.56,64.1,1,96.9,6,High Risk
T00080,3,45124,6.39,89.2,8,89.5,2,Truck Healthy
T00081,1,15097,6.58,98.4,22,80.6,1,Truck Healthy
T00082,13,137702,4.29,57.3,50,97.7,5,High Risk
T00083,9,111261,4.39,72.5,38,91.6,5,High Risk
T00084,13,178663,3.57,62.2,49,101.3,1,High Risk
T00085,4,47342,6.73,90.1,30,86.8,0,Truck Healthy
T00086,11,99378,4.0,65.7,22,91.0,4,High Risk
T00087,5,66545,6.37,84.2,41,90.9,2,Service Required Soon
T00088,7,64166,5.34,83.7,7,85.3,2,Truck Healthy
T00089,0,8403,6.77,95.0,28,73.7,0,Truck Healthy
T00090,3,35632,6.74,86.9,31,88.6,3,Service Required Soon
T00091,13,180366,3.56,61.7,14,92.7,3,High Risk
T00092,5,60121,4.98,89.6,49,87.2,2,Service Required Soon
T00093,12,165804,3.93,61.7,9,100.2,2,High Risk
T00094,6,98453,4.76,81.6,18,89.0,0,Truck Healthy
T00095,1,19838,6.68,96.8,32,84.3,0,Service Required Soon
T00096,4,37431,5.76,84.9,16,90.9,3,Truck Healthy
T00097,4,45111,6.36,89.0,26,85.8,0,High Risk
T00098,4,67356,6.03,85.9,55,86.5,2,Service Required Soon
T00099,12,98425,4.1,64.6,19,97.2,2,High Risk
T00100,5,56958,5.59,81.3,20,87.9,2,Truck Healthy
T00101,14,189827,3.63,58.6,58,101.4,4,High Risk
T00102,4,46128,5.59,87.1,38,92.6,0,Service Required Soon
T00103,6,67533,5.42,85.2,43,87.7,1,High Risk
T00104,11,111472,3.3,71.7,55,89.1,4,High Risk
T00105,3,37883,6.41,91.4,38,90.6,0,Service Required Soon
T00106,0,1617,6.35,100.0,46,76.8,0,Service Required Soon
T00107,5,56650,6.33,85.3,37,94.8,0,Service Required Soon
T00108,8,101716,6.02,76.3,27,88.2,2,Service Required Soon
T00109,14,120005,3.39,61.5,26,100.5,2,High Risk
T00110,14,187466,3.52,53.4,32,99.4,7,High Risk
T00111,12,144421,4.0,62.4,27,96.7,3,High Risk
T00112,11,143717,4.29,70.0,27,99.9,2,High Risk
T00113,3,40453,6.63,92.9,46,87.0,4,Service Required Soon
T00114,6,60106,4.97,85.8,29,90.4,3,Truck Healthy
T00115,11,136371,4.13,62.8,27,92.2,7,High Risk
T00116,2,34396,6.47,98.3,30,81.1,0,Truck Healthy
T00117,10,95556,4.35,67.8,53,93.2,3,High Risk
T00118,8,85654,4.24,76.1,59,91.2,1,Service Required Soon
T00119,12,127331,4.25,60.9,9,96.9,4,High Risk
T00120,8,80738,5.65,73.2,0,93.8,3,Truck Healthy
T00121,5,81877,6.03,85.2,29,85.0,1,Truck Healthy
T00122,10,118727,4.46,68.1,8,99.2,2,High Risk
T00123,4,36035,5.71,84.0,6,84.1,1,Truck Healthy
T00124,7,66699,5.27,77.5,57,95.1,3,Service Required Soon
T00125,13,119786,3.81,63.0,23,96.9,7,High Risk
T00126,8,81202,5.12,77.8,50,91.2,3,Service Required Soon
T00127,4,40657,6.6,84.7,46,85.9,2,Service Required Soon
T00128,4,56836,6.72,93.0,12,83.1,0,Truck Healthy
T00129,2,30448,6.16,89.7,25,86.8,0,Truck Healthy
T00130,10,151216,4.18,65.7,1,91.2,2,High Risk
T00131,1,9246,7.0,96.5,3,78.1,1,Truck Healthy
T00132,10,121069,5.07,65.7,30,96.4,3,High Risk
T00133,8,110844,4.37,71.9,44,96.5,2,Service Required Soon
T00134,14,170547,3.83,61.0,48,106.6,8,High Risk
T00135,11,110390,4.99,62.7,40,99.1,2,High Risk
T00136,11,94402,4.1,63.4,20,95.5,3,High Risk
T00137,11,101569,5.02,62.9,51,93.7,3,High Risk
T00138,11,132266,4.31,68.4,56,100.8,3,High Risk
T00139,7,100917,5.13,82.9,0,87.3,2,Truck Healthy
T00140,9,94048,4.37,71.8,55,87.8,2,High Risk
T00141,1,19287,6.93,93.9,8,83.0,0,Truck Healthy
T00142,5,54605,5.95,83.2,19,88.3,1,Truck Healthy
T00143,8,67671,5.67,72.6,9,97.0,0,Truck Healthy
T00144,3,39826,6.77,92.6,10,79.0,0,Truck Healthy
T00145,3,34323,6.53,89.8,16,85.4,1,Truck Healthy
T00146,5,57789,5.88,88.2,29,86.7,4,Truck Healthy
T00147,10,106229,3.87,66.1,29,93.0,3,High Risk
T00148,3,38516,6.71,95.3,25,81.9,0,Truck Healthy
T00149,6,67154,5.62,82.1,20,91.1,1,Truck Healthy
T00150,8,100061,4.46,79.5,16,95.1,2,Truck Healthy
T00151,6,85337,5.99,85.4,35,87.8,1,Service Required Soon
T00152,0,2878,6.14,100.0,48,84.8,0,Service Required Soon
T00153,8,110088,4.87,75.5,54,97.8,4,Service Required Soon
T00154,2,34219,6.84,89.9,24,80.6,0,Truck Healthy
T00155,10,109156,4.52,74.2,29,99.0,1,Service Required Soon
T00156,11,161547,4.42,66.1,21,91.4,2,High Risk
T00157,14,133358,3.16,62.4,0,101.7,4,Truck Healthy
T00158,1,11999,7.0,100.0,36,78.3,0,Service Required Soon
T00159,1,13591,6.7,100.0,53,78.9,0,Service Required Soon
T00160,13,160833,3.92,61.6,59,102.5,2,High Risk
T00161,14,204419,3.42,55.0,21,98.5,2,High Risk
T00162,10,102481,4.34,65.2,17,92.1,3,High Risk
T00163,6,79931,5.17,79.9,22,88.7,1,Truck Healthy
T00164,14,140994,3.58,53.1,40,99.5,4,High Risk
T00165,5,78945,6.08,88.1,16,84.5,0,Truck Healthy
T00166,5,51123,5.88,89.9,49,94.7,2,Service Required Soon
T00167,6,53144,5.12,83.2,6,88.7,2,Truck Healthy
T00168,4,60725,6.89,87.7,34,83.7,0,Service Required Soon
T00169,14,189848,4.24,58.1,27,101.6,6,High Risk
T00170,14,160054,3.72,62.0,39,100.3,2,High Risk
T00171,9,91892,4.8,69.0,57,96.7,3,High Risk
T00172,4,39638,5.88,86.9,2,88.3,1,High Risk
T00173,9,118976,4.96,77.1,41,98.5,2,High Risk
T00174,14,154535,3.11,60.0,10,105.7,5,High Risk
T00175,9,94314,4.99,73.4,10,97.1,5,Service Required Soon
T00176,11,162613,4.46,62.4,8,95.2,2,High Risk
T00177,0,6871,6.95,99.5,39,74.2,0,Service Required Soon
T00178,10,116656,4.66,70.9,46,98.7,3,High Risk
T00179,0,5725,6.93,97.1,36,84.4,0,Service Required Soon
T00180,10,125789,3.78,65.1,2,93.1,3,High Risk
T00181,7,92762,5.76,78.1,2,95.4,2,Truck Healthy
T00182,1,16215,6.76,92.5,46,85.5,0,Service Required Soon
T00183,0,3459,6.85,100.0,53,81.0,0,Service Required Soon
T00184,4,50269,5.93,84.3,4,86.5,2,Truck Healthy
T00185,10,93661,4.79,66.2,32,96.7,2,High Risk
T00186,4,61870,5.99,89.2,46,87.9,0,Service Required Soon
T00187,11,153897,4.59,63.1,29,96.4,1,High Risk
T00188,1,17940,6.73,97.9,8,84.4,0,Truck Healthy
T00189,5,59707,5.76,84.8,52,80.9,1,Truck Healthy
T00190,13,173090,3.08,56.4,2,99.7,3,High Risk
T00191,6,76486,5.56,79.4,12,90.9,3,Truck Healthy
T00192,3,44311,6.34,93.9,44,88.6,0,Service Required Soon
T00193,14,136600,4.38,55.9,14,100.4,2,High Risk
T00194,8,100321,4.33,71.3,15,86.7,4,Truck Healthy
T00195,2,26758,6.1,95.5,34,86.0,0,Service Required Soon
T00196,8,86973,4.57,75.0,46,91.3,1,Service Required Soon
T00197,6,86657,5.9,86.5,38,87.2,2,Service Required Soon
T00198,6,65290,5.68,81.1,26,88.5,0,Truck Healthy
T00199,0,9875,6.93,98.4,7,78.0,0,Truck Healthy
T00200,11,94410,3.3,64.9,12,92.8,3,High Risk
T00201,14,162218,4.31,61.8,23,98.1,2,High Risk
T00202,4,51635,5.63,83.9,20,84.7,1,Truck Healthy
T00203,14,185713,3.82,54.9,39,103.3,8,High Risk
T00204,10,144808,4.75,73.4,49,92.8,3,High Risk
T00205,13,135524,3.36,60.4,25,101.7,5,High Risk
T00206,4,61231,5.68,90.9,28,85.0,0,Truck Healthy
T00207,13,159231,3.28,64.3,43,99.6,4,High Risk
T00208,7,62509,5.83,83.2,2,88.4,3,Truck Healthy
T00209,0,349,6.74,100.0,54,83.7,0,Service Required Soon
T00210,13,187447,3.53,62.7,57,96.9,5,High Risk
T00211,14,162019,3.31,62.0,16,97.8,4,High Risk
T00212,6,56025,4.42,78.0,16,93.1,1,Truck Healthy
T00213,4,53560,5.46,92.0,14,85.1,1,High Risk
T00214,11,131815,4.09,67.1,6,102.3,0,High Risk
T00215,3,34756,6.52,91.3,24,82.0,0,Truck Healthy
T00216,0,5817,7.0,96.0,35,81.3,0,Service Required Soon
T00217,1,20441,6.58,98.3,53,76.1,0,Service Required Soon
T00218,14,182170,2.93,61.7,53,98.8,6,High Risk
T00219,3,45816,6.19,92.0,34,82.9,1,Service Required Soon
T00220,12,163232,3.73,65.3,6,95.2,3,High Risk
T00221,11,169787,3.93,65.6,12,97.0,1,High Risk
T00222,4,42574,6.16,89.6,48,81.6,1,Service Required Soon
T00223,9,106630,5.49,73.4,25,89.7,1,Service Required Soon
T00224,11,143880,4.01,67.9,55,94.0,4,High Risk
T00225,12,144091,3.82,67.6,47,101.5,2,High Risk
T00226,8,75566,5.33,74.0,51,95.8,5,Service Required Soon
T00227,4,37523,6.76,83.6,46,85.6,2,Service Required Soon
T00228,5,76483,5.87,82.9,24,81.2,4,Truck Healthy
T00229,6,74122,4.69,77.4,53,83.7,1,Service Required Soon
T00230,7,86675,6.0,75.6,13,96.5,4,Truck Healthy
T00231,5,79061,5.85,83.1,26,82.2,1,Truck Healthy
T00232,1,12016,6.72,100.0,24,76.6,1,Truck Healthy
T00233,13,191715,3.88,59.9,41,103.0,4,High Risk
T00234,5,55211,5.81,85.3,51,94.4,0,Service Required Soon
